threshold,tn,fp,fn,tp,precision,recall,f1,predicted_positive_count
0.05,284140,175,25,467,0.7274143302180686,0.9491869918699187,0.8236331569664903,642
0.1,284166,149,29,463,0.7565359477124183,0.9410569105691057,0.8387681159420289,612
0.15,284177,138,31,461,0.7696160267111853,0.9369918699186992,0.845096241979835,599
0.2,284185,130,33,459,0.7792869269949066,0.9329268292682927,0.849213691026827,589
0.25,284192,123,34,458,0.7882960413080895,0.9308943089430894,0.8536812674743709,581
0.3,284198,117,35,457,0.7961672473867596,0.9288617886178862,0.8574108818011257,574
0.35,284201,114,36,456,0.8,0.926829268292683,0.8587570621468926,570
0.4,284203,112,36,456,0.8028169014084507,0.926829268292683,0.8603773584905661,568
0.45,284205,110,36,456,0.8056537102473498,0.926829268292683,0.8620037807183365,566
0.5,284207,108,36,456,0.8085106382978723,0.926829268292683,0.8636363636363636,564
0.55,284210,105,36,456,0.8128342245989305,0.926829268292683,0.8660968660968661,561
0.6,284213,102,36,456,0.8172043010752689,0.926829268292683,0.8685714285714285,558
0.65,284217,98,39,453,0.822141560798548,0.9207317073170732,0.8686481303930969,551
0.7,284217,98,39,453,0.822141560798548,0.9207317073170732,0.8686481303930969,551
0.75,284223,92,39,453,0.8311926605504587,0.9207317073170732,0.8736740597878495,545
0.8,284236,79,40,452,0.8512241054613936,0.9186991869918699,0.8836754643206256,531
0.85,284242,73,42,450,0.8604206500956023,0.9146341463414634,0.8866995073891626,523
0.9,284247,68,44,448,0.8682170542635659,0.9105691056910569,0.8888888888888888,516
0.95,284256,59,47,445,0.8829365079365079,0.9044715447154471,0.893574297188755,504
