iter	Passed	Remaining
0	195	58308
1	318	47516
2	420	41610
3	483	35785
4	538	31763
5	586	28760
6	640	26821
7	699	25547
8	760	24588
9	827	23995
10	889	23380
11	962	23098
12	1030	22745
13	1092	22309
14	1151	21879
15	1212	21528
16	1274	21216
17	1328	20811
18	1397	20674
19	1452	20334
20	1521	20214
21	1600	20220
22	1704	20532
23	1890	21746
24	2016	22182
25	2285	24088
26	2443	24707
27	2556	24832
28	2646	24734
29	2737	24637
30	2835	24601
31	2924	24489
32	3052	24698
33	3146	24613
34	3248	24592
35	3327	24400
36	3424	24339
37	3500	24132
38	3583	23979
39	3661	23797
40	3737	23608
41	3835	23558
42	3929	23484
43	4025	23418
44	4123	23369
45	4219	23299
46	4319	23253
47	4409	23151
48	4480	22949
49	4557	22788
50	4634	22628
51	4721	22517
52	4795	22350
53	4871	22190
54	4953	22065
55	5036	21944
56	5110	21787
57	5191	21660
58	5289	21604
59	5383	21533
60	5458	21386
61	5522	21199
62	5600	21066
63	5679	20941
64	5776	20883
65	5868	20805
66	5966	20749
67	6053	20653
68	6155	20606
69	6246	20524
70	6347	20473
71	6420	20332
72	6501	20217
73	6578	20092
74	6663	19990
75	6760	19925
76	6868	19892
77	6955	19797
78	7036	19683
79	7154	19674
80	7251	19604
81	7325	19475
82	7406	19363
83	7476	19225
84	7540	19072
85	7609	18934
86	7689	18826
87	7777	18735
88	7851	18614
89	7932	18508
90	8033	18451
91	8161	18452
92	8270	18409
93	8365	18333
94	8439	18211
95	8519	18104
96	8598	17994
97	8679	17890
98	8803	17872
99	8894	17788
100	8997	17728
101	9082	17631
102	9162	17523
103	9256	17445
104	9341	17348
105	9410	17222
106	9479	17097
107	9554	16985
108	9618	16854
109	9716	16782
110	9794	16676
111	9885	16592
112	9962	16486
113	10067	16425
114	10160	16344
115	10253	16263
116	10349	16187
117	10434	16094
118	10512	15989
119	10585	15877
120	10673	15789
121	10790	15743
122	10903	15689
123	11020	15641
124	11105	15547
125	11194	15459
126	11259	15337
127	11349	15250
128	11439	15164
129	11516	15059
130	11603	14969
131	11686	14873
132	11784	14797
133	11875	14712
134	11954	14611
135	12056	14539
136	12144	14449
137	12226	14353
138	12310	14259
139	12398	14170
140	12466	14057
141	12541	13954
142	12639	13877
143	12731	13792
144	12836	13721
145	12920	13628
146	13015	13546
147	13113	13467
148	13206	13384
149	13287	13287
150	13375	13197
151	13445	13091
152	13536	13005
153	13609	12902
154	13695	12811
155	13777	12717
156	13871	12634
157	13960	12546
158	14047	12456
159	14140	12372
160	14235	12290
161	14334	12211
162	14413	12114
163	14493	12018
164	14562	11914
165	14643	11820
166	14724	11726
167	14811	11637
168	14893	11544
169	14986	11459
170	15081	11377
171	15155	11278
172	15225	11176
173	15301	11080
174	15380	10986
175	15453	10887
176	15521	10786
177	15582	10680
178	15654	10581
179	15734	10489
180	15805	10391
181	15885	10299
182	15961	10204
183	16028	10104
184	16096	10005
185	16169	9910
186	16241	9814
187	16313	9718
188	16379	9619
189	16442	9519
190	16497	9414
191	16554	9311
192	16616	9212
193	16691	9119
194	16768	9029
195	16837	8934
196	16902	8837
197	16980	8747
198	17045	8651
199	17111	8555
200	17178	8461
201	17245	8366
202	17319	8275
203	17388	8182
204	17452	8087
205	17511	7990
206	17575	7896
207	17643	7803
208	17714	7713
209	17792	7625
210	17866	7536
211	17938	7446
212	18011	7356
213	18078	7264
214	18145	7173
215	18220	7085
216	18290	6996
217	18357	6905
218	18410	6809
219	18457	6711
220	18503	6614
221	18553	6518
222	18611	6426
223	18697	6343
224	18756	6252
225	18814	6160
226	18873	6069
227	18918	5974
228	18971	5881
229	19024	5790
230	19070	5696
231	19126	5606
232	19179	5515
233	19229	5423
234	19287	5334
235	19336	5243
236	19382	5152
237	19435	5062
238	19476	4971
239	19522	4880
240	19567	4790
241	19615	4701
242	19663	4612
243	19712	4524
244	19764	4436
245	19817	4350
246	19869	4263
247	19922	4177
248	19982	4092
249	20037	4007
250	20089	3921
251	20148	3837
252	20261	3763
253	20355	3686
254	20409	3601
255	20447	3514
256	20488	3428
257	20529	3341
258	20572	3256
259	20618	3172
260	20774	3104
261	21130	3064
262	21169	2978
263	21202	2891
264	21233	2804
265	21270	2718
266	21306	2633
267	21340	2548
268	21375	2463
269	21408	2378
270	21438	2294
271	21470	2210
272	21498	2126
273	21526	2042
274	21554	1959
275	21575	1876
276	21605	1793
277	21624	1711
278	21645	1629
279	21662	1547
280	21681	1466
281	21702	1385
282	21721	1304
283	21740	1224
284	21759	1145
285	21779	1066
286	21801	987
287	21819	909
288	21839	831
289	21862	753
290	21880	676
291	21901	600
292	21919	523
293	21937	447
294	21954	372
295	21972	296
296	21989	222
297	22008	147
298	22025	73
299	22042	0
